,0,1,2,3,4,5,6
135,5.0,10.0,50.0,0.7,0.75,3.7726398418437,0.37880130220515884
136,5.0,10.0,50.0,0.7,0.8,3.777692550840207,0.3778130818589705
137,5.0,10.0,50.0,0.7,0.85,3.7776865756402818,0.37702067797917727
138,5.0,10.0,50.0,0.75,0.75,3.7780907467850477,0.3768251401412173
139,5.0,10.0,50.0,0.75,0.8,3.775689381241285,0.37882393611823206
140,5.0,10.0,50.0,0.75,0.85,3.77660822820185,0.38043272142441587
141,5.0,10.0,50.0,0.8,0.75,3.77692839967854,0.37726917894229706
142,5.0,10.0,50.0,0.8,0.8,3.7763682086197075,0.3787038633376119
143,5.0,10.0,50.0,0.8,0.85,3.776239415056026,0.3779107946053689
144,10.0,0.0,5.0,0.7,0.75,3.7971935999819757,0.368050563859136
145,10.0,0.0,5.0,0.7,0.8,3.7895136406110383,0.3707954549510877
146,10.0,0.0,5.0,0.7,0.85,3.795488561059527,0.3680482447551561
147,10.0,0.0,5.0,0.75,0.75,3.7940868694478507,0.370305157105165
148,10.0,0.0,5.0,0.75,0.8,3.7910316445900776,0.3708801586057803
149,10.0,0.0,5.0,0.75,0.85,3.7916759130292093,0.37293250167732117
150,10.0,0.0,5.0,0.8,0.75,3.7949231700310397,0.36906664569941694
151,10.0,0.0,5.0,0.8,0.8,3.7955454663332966,0.36865149527560576
152,10.0,0.0,5.0,0.8,0.85,3.7941753687422746,0.36964717270182434
153,10.0,0.0,10.0,0.7,0.75,3.7914864859481745,0.37038175466639084
154,10.0,0.0,10.0,0.7,0.8,3.790119154203742,0.3693047314928355
155,10.0,0.0,10.0,0.7,0.85,3.786831122850357,0.3733987727250324
156,10.0,0.0,10.0,0.75,0.75,3.7869744753094903,0.37193963552740983
157,10.0,0.0,10.0,0.75,0.8,3.7898350400148906,0.37343267971958993
158,10.0,0.0,10.0,0.75,0.85,3.784486492777299,0.37169750757177134
159,10.0,0.0,10.0,0.8,0.75,3.7886195233191895,0.3734006285800295
160,10.0,0.0,10.0,0.8,0.8,3.7941871633552116,0.3666605688335944
161,10.0,0.0,10.0,0.8,0.85,3.7916497834937326,0.36763885471280733
162,10.0,0.0,25.0,0.7,0.75,3.7827147704506574,0.37300479260916936
163,10.0,0.0,25.0,0.7,0.8,3.7829392853799866,0.37424928682075953
164,10.0,0.0,25.0,0.7,0.85,3.782736666121169,0.375084353096001
165,10.0,0.0,25.0,0.75,0.75,3.7833279614580153,0.3724517032621729
166,10.0,0.0,25.0,0.75,0.8,3.782835653307907,0.3738005405760291
167,10.0,0.0,25.0,0.75,0.85,3.779650113359186,0.37406257351719874
168,10.0,0.0,25.0,0.8,0.75,3.7840146269678843,0.3748749915104669
169,10.0,0.0,25.0,0.8,0.8,3.7828593595366047,0.37460274482904615
170,10.0,0.0,25.0,0.8,0.85,3.7841456463763175,0.3738086902778428
171,10.0,0.0,50.0,0.7,0.75,3.7801860156664917,0.37669853995266783
172,10.0,0.0,50.0,0.7,0.8,3.7790421767096216,0.37441048210788375
